Technique,TestName,auto_generated_guid,supported_platforms,TimeoutSeconds,InputArgs,hostname,active,notes
T1003.001,Dump LSASS.exe Memory using ProcDump,0be2230c-9ab3-4ac2-8826-3199b9a0ebf8,windows,120,,,TRUE,
T1007,System Service Discovery,89676ba1-b1f8-47ee-b940-2e1a113ebc71,windows,120,,,TRUE,
